ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
12686857640,18 oct. 2024 17:39:05,Carrera de noche,Carrera,,1596,"3,96",,,false,,,activities/12686857640.gpx,,,1596.0,1568.0,3961.0,4.686,2.526,7.5,7.5,198.9,203.7,5.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3965.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.482,729.5,,,,3260.0,,,,,2.529,,,,,,,,""
12711351481,21 oct. 2024 18:50:07,Carrera nocturna,Carrera,,1956,"5,05",,,false,,,activities/12711351481.gpx,,,1956.0,1933.0,5057.2,4.618,2.616,3.1,3.1,198.7,201.9,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5069.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.585,1332.6,,,,4174.0,,,,,2.623,,,,,,,,""
12743223647,25 oct. 2024 17:48:27,Carrera de noche,Carrera,,2701,"7,00",,,false,,,activities/12743223647.gpx,,,2701.0,2666.0,7000.5,3.92,2.626,15.5,15.5,198.7,207.8,9.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7025.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.592,1808.9,,,,6196.0,,,,,2.635,,,,,,,,""
12766711836,28 oct. 2024 16:40:08,Carrera de noche,Carrera,,2946,"8,00",,,false,,,activities/12766711836.gpx,,,2946.0,2943.0,8004.2,4.31,2.72,21.7,21.7,197.8,207.8,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8026.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.717,2744.8,,,,7166.0,,,,,2.727,,,,,,,,""
12783156257,30 oct. 2024 16:47:31,Carrera de noche,Carrera,,2579,"7,20",,,false,,,activities/12783156257.gpx,,,2579.0,2579.0,7200.9,4.079,2.792,13.1,13.1,197.7,206.2,6.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7211.9,1730304000.0,3.0,18.5,17.9,15.5,0.83,1018.5,2.5,4.4,104.0,0.6,1730269952.0,1730307584.0,0.875,,,0.8,5.0,0.86,20269.0,0.0,,,,,0.0,2.792,2617.7,,,,6342.0,,,,,2.796,,,,,,,,""
12799090815,1 nov. 2024 18:25:16,Series,Carrera,,1659,"5,00",,,false,,,activities/12799090815.gpx,,,1659.0,1656.0,5001.0,5.46,3.02,4.4,4.4,198.5,203.2,3.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5004.5,1730483968.0,3.0,16.3,16.8,14.0,0.86,1021.8,1.1,1.8,150.0,0.0,1730443008.0,1730480256.0,0.875,,,0.47,5.0,0.75,26251.0,0.0,,,,,0.0,3.014,2473.0,,,,3910.0,,,,,3.022,,,,,,,,""
12822216645,4 nov. 2024 16:44:59,Carrera de noche,Carrera,,2952,"8,00",,,false,,,activities/12822216645.gpx,,,2952.0,2944.0,8000.6,4.42,2.718,11.4,11.4,197.7,203.4,9.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8012.5,1730736000.0,3.0,20.0,18.5,15.3,0.74,1020.5,3.9,6.6,108.0,0.0,1730702336.0,1730739200.0,0.125,,,0.65,5.0,0.74,23036.0,0.0,,,,,0.0,2.71,3291.7,,,,7278.0,,,,,2.722,,,,,,,,""
12839529232,6 nov. 2024 19:08:32,Carrera de noche,Carrera,,2884,"8,00",,,false,,,activities/12839529232.gpx,,,2884.0,2862.0,8001.1,4.6,2.796,22.6,22.6,197.7,206.5,4.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8017.4,1730919552.0,1.0,15.8,15.6,12.9,0.83,1025.3,0.7,1.9,146.0,0.0,1730875392.0,1730911872.0,0.125,,,0.16,5.0,0.08,20708.0,0.0,,,,,0.0,2.774,2926.5,,,,7074.0,,,,,2.801,,,,,,,,""
12877035216,11 nov. 2024 16:35:44,Carrera post Madrid,Carrera,,2784,"8,00",,,false,,,activities/12877035216.gpx,,,2784.0,2761.0,8003.0,4.1,2.899,22.0,22.0,197.7,207.7,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8022.4,1731340800.0,8.0,15.7,11.3,8.9,0.64,1024.8,7.1,11.7,306.0,0.0,1731307648.0,1731343616.0,0.375,,,0.0,1.0,0.02,30743.0,0.0,,,,,0.0,2.875,3023.2,,,,6894.0,,,,,2.906,,,,,,,,""
12884870234,12 nov. 2024 16:36:53,Carrera de noche,Carrera,,2667,"8,00",,,false,,,activities/12884870234.gpx,,,2667.0,2664.0,8005.7,5.7,3.005,21.3,21.3,197.7,207.7,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8025.3,1731427200.0,8.0,11.9,5.0,3.4,0.56,1018.1,8.2,14.6,314.0,0.0,1731394176.0,1731429888.0,0.375,,,0.16,5.0,0.29,32578.0,0.0,,,,,0.0,3.002,3916.2,,,,6778.0,,,,,3.013,,,,,,,,""
