ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
5168229495,21 abr. 2021 16:45:32,Carrera de noche,Carrera,,1048,"3,58",,,false,,,activities/5508043095.gpx.gz,,,1048.0,1048.0,3581.2,4.5,3.417,9.0,33.0,208.0,232.0,26.5,-0.7,,,91.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3593.4,1619020800.0,2.0,19.2,19.2,7.0,0.45,1010.1,5.4,5.7,118.0,0.0,1618982144.0,1619031168.0,0.3,,,0.03,5.0,0.58,16093.0,2.0,351.2,,,,,,4.5,,,,,,,,,,,,,,,,,""
5170531493,22 abr. 2021 6:30:53,2308_SESIÓN4_PN231,Carrera,"",1650,"6,24",,,true,,,activities/5510428701.gpx.gz,,,1650.0,1644.0,6239.5,5.7,3.795,20.0,23.0,218.0,235.0,18.0,0.0,,,100.0,92.0,,,,,,,,,,,,,,6.0,,,,,0.0,43.0,1.0,,1.0,6276.0,1619071232.0,5.0,10.3,10.3,9.5,0.95,1014.9,5.6,8.3,102.0,0.3,1619068416.0,1619117568.0,0.33,,,0.43,5.0,0.99,14778.0,0.0,349.8,,,,,,0.0,,,,,,,,,,,,,,,,,""
5192777408,25 abr. 2021 14:39:11,Caminata de tarde,Caminata,,3600,"4,28",,,false,,,activities/5533555028.gpx.gz,,,3600.0,3513.0,4287.3,2.5,1.22,22.0,12.0,235.0,249.0,23.0,0.2,,,66.0,56.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1619359232.0,2.0,19.9,19.9,7.6,0.45,1011.7,6.6,8.7,104.0,0.0,1619327360.0,1619376896.0,0.45,,,0.0,,0.62,16093.0,5.0,321.3,,,,,,2486.1,,,,,,,,,,,,,,,,,""
5192777457,25 abr. 2021 17:29:14,Caminata de noche,Caminata,,3303,"3,90",,,false,,,activities/5533555108.gpx.gz,,,3303.0,3107.0,3904.6,4.0,1.257,12.0,20.0,230.0,241.0,11.8,-0.2,,,92.0,56.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1619369984.0,2.0,21.5,21.5,5.6,0.36,1009.2,7.6,13.0,110.0,0.0,1619327360.0,1619376896.0,0.45,,,0.0,,0.84,16093.0,1.0,325.9,,,,,,2064.7,,,,,,,,,,,,,,,,,""
5194305929,26 abr. 2021 6:22:42,2308_SESIÓN6_PN231,Carrera,"",1949,"7,06",,,false,,,activities/5535157821.gpx.gz,,,1949.0,1923.0,7064.4,5.3,3.674,29.0,27.0,213.0,238.0,9.1,0.0,,,93.0,89.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7137.5,1619416832.0,3.0,11.6,11.6,8.0,0.79,1008.9,2.6,4.3,119.0,0.3,1619413632.0,1619463424.0,0.49,,,0.21,5.0,0.99,8882.0,0.0,342.5,,,,,,1466.1,,,,,,,,,,,,,,,,,""
5205743942,28 abr. 2021 6:21:50,2308_SESIÓN8_PN231,Carrera,"",1791,"6,07",,,false,,,activities/5547012161.gpx.gz,,,1791.0,1487.0,6076.1,5.5,4.086,21.0,21.0,224.0,242.0,7.6,0.0,,,99.0,93.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6119.2,1619589632.0,3.0,12.4,12.4,9.8,0.84,1006.8,2.4,2.4,284.0,0.0,1619586304.0,1619636352.0,0.56,,,0.02,5.0,0.94,16093.0,0.0,355.9,,,,,,0.0,,,,,,,,,,,,,,,,,""
5216605610,30 abr. 2021 6:28:38,2308_SESIÓN10_PN231,Carrera,"",2141,"8,03",,,false,,,activities/5558848205.gpx.gz,,,2141.0,2137.0,8037.4,5.0,3.761,16.0,18.0,232.0,245.0,8.6,0.0,,,95.0,90.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,8075.8,1619762432.0,2.0,9.5,8.4,7.1,0.85,1010.6,2.3,3.0,290.0,0.0,1619758976.0,1619809280.0,0.64,,,0.0,,0.69,16093.0,0.0,357.9,,,,,,5637.1,,,,,,,,,,,,,,,,,""
5239089185,4 may. 2021 6:26:51,2308_SESIÓN12_PN231,Carrera,"",2304,"8,01",,,false,,,activities/5582245782.gpx.gz,,,2304.0,2304.0,8013.4,4.7,3.478,12.0,16.0,236.0,246.0,9.1,0.0,,,90.0,88.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,8044.5,1620108032.0,2.0,11.4,11.4,7.7,0.78,1019.1,1.2,1.4,8.0,0.0,1620104320.0,1620155136.0,0.78,,,0.01,5.0,0.71,16093.0,0.0,351.5,,,,,,5628.1,,,,,,,,,,,,,,,,,""
5441081943,7 jun. 2021 7:09:28,Carrera de mañana,Carrera,,1458,"5,75",,,false,,,activities/5793059264.gpx.gz,,,1458.0,1458.0,5755.3,6.2,3.947,10.0,18.0,189.0,203.0,8.4,-0.1,,,101.0,93.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5780.8,1623049216.0,1.0,16.6,16.6,11.9,0.74,1021.9,4.3,7.6,297.0,0.0,1623040256.0,1623094656.0,0.92,,,0.0,,0.01,16093.0,1.0,320.1,,,,,,,,,,,,,,,,,,,,,,,""
5468964814,11 jun. 2021 5:57:03,Carrera de mañana,Carrera,,2468,"7,34",,,false,,,activities/5822136195.gpx.gz,,,2468.0,2160.0,7348.3,5.6,3.402,57.0,62.0,193.0,241.0,49.5,-0.1,,,97.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7734.6,1623387648.0,2.0,18.1,18.1,14.2,0.78,1017.5,3.2,5.1,315.0,0.0,1623385856.0,1623440384.0,0.04,,,0.01,5.0,0.37,16093.0,0.0,328.4,,,,,,,,,,,,,,,,,,,,,,,""
5468964899,14 jun. 2021 5:55:12,Carrera de mañana,Carrera,,2351,"7,73",,,false,,,activities/5822136285.gpx.gz,,,2351.0,2351.0,7738.6,4.1,3.292,11.0,17.0,204.0,214.0,13.7,-0.1,,,98.0,89.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7758.9,1623646848.0,1.0,20.0,20.0,12.0,0.6,1018.5,1.1,1.2,305.0,0.0,1623645056.0,1623699712.0,0.14,,,0.0,,0.01,16093.0,0.0,328.3,,,,,,,,,,,,,,,,,,,,,,,""
5485732260,16 jun. 2021 5:49:38,Carrera de mañana,Carrera,,1875,"6,01",,,false,,,activities/5839547674.gpx.gz,,,1875.0,1875.0,6014.8,4.0,3.208,4.0,9.0,195.0,205.0,8.6,-0.1,,,93.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6022.5,1623819648.0,2.0,23.6,23.6,13.8,0.54,1013.0,2.6,2.8,96.0,0.0,1623817856.0,1623872512.0,0.2,,,0.01,5.0,0.83,16093.0,0.0,334.2,,,,,,,,,,,,,,,,,,,,,,,""
5485732485,15 jun. 2021 17:19:38,Caminata de noche,Caminata,,6420,"8,22",,,false,,,activities/5839547738.gpx.gz,,,6420.0,5831.0,8222.9,2.0,1.41,117.0,187.0,184.0,304.0,20.4,-0.9,,,64.0,58.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1623776384.0,2.0,34.4,34.4,11.4,0.25,1011.9,5.3,6.4,198.0,0.0,1623731456.0,1623786112.0,0.17,,,0.01,5.0,0.75,16093.0,1.0,335.3,,,,,,,,,,,,,,,,,,,,,,,""
5517439006,18 jun. 2021 6:06:05,Carrera de mañana,Carrera,,545,"1,96",,,false,,,activities/5872616680.gpx.gz,,,545.0,545.0,1963.8,4.5,3.603,4.5,4.2,201.6,206.1,4.5,0.0,,,94.0,91.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1968.7,1623996032.0,2.0,18.1,18.1,15.3,0.84,1013.7,1.7,3.3,92.0,0.0,1623990656.0,1624045440.0,0.27,,,0.01,5.0,0.4,16093.0,0.0,337.2,,,,,,,,,,,,,,,,,,,,,,,""
5517439114,18 jun. 2021 5:24:25,Carrera de mañana,Carrera,,831,"2,89",,,false,,,activities/5872616753.gpx.gz,,,831.0,831.0,2893.1,4.4,3.481,4.4,4.2,201.6,206.1,4.5,0.0,,,97.0,90.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2898.4,1623992448.0,2.0,17.1,17.1,14.3,0.83,1013.8,1.6,1.7,94.0,0.0,1623990656.0,1624045312.0,0.27,,,0.0,,0.65,16093.0,0.0,335.1,,,,,,,,,,,,,,,,,,,,,,,""
5517439208,23 jun. 2021 5:25:26,Carrera de mañana,Carrera,,2476,"8,60",,,false,,,activities/5872616819.gpx.gz,,,2476.0,2476.0,8600.6,4.8,3.474,11.9,10.4,199.0,206.1,10.4,0.0,,,94.0,89.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8622.9,1624424448.0,2.0,15.8,15.8,11.2,0.74,1018.3,7.0,13.3,301.0,0.1,1624422656.0,1624477440.0,0.46,,,0.17,5.0,0.85,16093.0,0.0,357.8,,,,,,,,,,,,,,,,,,,,,,,""
5562742068,1 jul. 2021 5:21:53,Carrera de mañana,Carrera,,1158,"3,93",,,false,,,activities/5919816346.gpx.gz,,,1158.0,1158.0,3929.7,4.5,3.394,3.2,4.2,200.2,203.4,1.5,0.0,,,92.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3929.7,1625115648.0,2.0,20.0,20.1,16.2,0.78,1017.3,1.7,2.6,103.0,0.0,1625114112.0,1625168640.0,0.75,,,0.0,,0.79,16093.0,0.0,310.9,,,,,,,,,,,,,,,,,,,,,,,""
