ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
13396772614,19 ene. 2025 12:42:48,Carrera de tarde,Carrera,"PRIMERA VEZ CORRIENDOOOO 
5km!!! SÚPER PROUD",1852,"5,00",,,false,,,activities/13396772614.gpx,,,1852.0,1852.0,5006.1,3.38,2.703,11.2,16.3,62.9,68.0,5.5,-0.1,,,,,,,,,370.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5014.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.703,0.0,,,,4758.0,,,,,2.707,,,,,,,,media/68060425-8B40-4151-A9DD-0115121D1BE3.jpg|media/75A4D7F3-DBE7-4331-8AB0-273378922467.jpg|media/67E6B1D0-E2E6-4ADF-A5A9-6EAA785951F8.jpg
13414711284,21 ene. 2025 14:56:09,"5,5 km!!",Carrera,uuueee medio km más pero me han llamado y he ido más lenta Y QUEEE,2087,"5,50",,,false,,,activities/13414711284.gpx,,,2087.0,2084.0,5506.3,4.24,2.642,9.8,9.8,62.9,72.3,10.8,-0.1,,,,,,,,,407.0,,,,,,,,,,,,,,,,0.0,,1.0,5514.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.638,0.0,,,,5186.0,,,,,2.646,,,,,,,,media/A40F89D7-5CE0-42B2-9BC3-FE2AF861468C.jpg|media/8DA7A4AB-3710-4979-9B02-6511580D45C2.jpg|media/C0A6A167-3CCF-46C0-AB19-8CE1BFF42DEF.jpg
13423433713,22 ene. 2025 14:29:10,hoy más tranquilita,Carrera,,1330,"3,50",,,false,,,activities/13423433713.gpx,,,1330.0,1330.0,3506.4,3.9,2.636,5.0,5.0,62.9,68.0,3.2,0.0,,,,,,,,,259.0,,,,,,,,,,,,,,,,0.0,,1.0,3510.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.636,0.0,,,,3326.0,,,,,2.639,,,,,,,,media/E585673E-AE82-4602-AEBD-C4B71FB027E7.jpg|media/15908627-478F-4160-B6E1-7B3C7002910E.jpg|media/1203B329-5778-4EC8-A5C2-E39EA7D725BB.jpg
13439602086,24 ene. 2025 12:48:20,Carrera de tarde,Carrera,casi me puto muero,1898,"5,11",,,false,,,activities/13439602086.gpx,,,1898.0,1881.0,5114.2,5.0,2.719,11.1,11.1,62.9,70.2,5.8,0.0,,,,,,,,,378.0,,,,,,,,,,,,,,,,0.0,,1.0,5127.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.695,0.0,,,,4922.0,,,,,2.726,,,,,,,,media/0C5BD339-D7A3-498A-8D7D-37B266AAEFF6.jpg|media/58A9C790-50B5-4462-8917-DB170741CD52.jpg|media/7909EAA2-FB0C-4525-8170-B2AB769D9D02.jpg|media/553442C7-044A-4862-9AD8-B404EA7C734A.jpg
13474496614,28 ene. 2025 13:17:22,QUEEEEEEE 7km,Carrera,oleeeeee jiji,2599,"7,00",,,false,,,activities/13474496614.gpx,,,2599.0,2599.0,7004.4,5.84,2.695,12.6,12.6,62.9,68.1,20.2,0.0,,,,,,,,,518.0,,,,,,,,,,,,,,,,0.0,,1.0,7025.4,1738069248.0,8.0,17.8,12.9,9.9,0.6,1008.7,6.9,9.6,201.0,0.1,1738044800.0,1738080512.0,0.875,,,0.0,1.0,0.93,28587.0,1.0,,,,,0.0,2.695,0.0,,,,6834.0,,,,,2.703,,,,,,,,media/C73DFC0A-3D2C-4807-96B1-37B78C4A4251.jpg|media/74334680-625D-4814-AFD5-4FFCA4ED65E3.jpg
13492076313,30 ene. 2025 11:52:01,Carrera de tarde,Carrera,"CASI ME MUERO HOY, lo he pasado fatal pero 7km 😁😁🏃🏼‍♀️🏃🏼‍♀️🏃🏼‍♀️",2560,"7,00",,,false,,,activities/13492076313.gpx,,,2560.0,2556.0,7000.2,4.02,2.739,16.5,20.9,62.9,71.7,6.5,-0.1,,,,,,,,,517.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,7011.7,1738234752.0,1.0,13.7,12.5,7.0,0.64,1019.1,4.1,7.2,311.0,0.0,1738217472.0,1738253440.0,0.125,,,0.0,1.0,0.24,33617.0,2.0,,,,,0.0,2.734,0.0,,,,6652.0,,,,,2.743,,,,,,,,media/585EBC9E-3657-4BC3-A001-C789AE11B457.jpg|media/D693F647-FAC2-44EA-B173-D3AB37545064.jpg|media/906D74F6-86DD-4B67-98B2-A18F83BC1212.jpg
13503473575,31 ene. 2025 18:37:40,muuuy chill,Carrera,angie cardo y gaizkaaaa,1214,"3,00",,,false,,,activities/13503473575.gpx,,,1214.0,1191.0,3001.6,4.3,2.52,4.1,4.1,62.9,72.0,10.9,-0.3,,,,,,,,,221.0,,,,,,,,,,,,,,,,0.0,,1.0,2994.4,1738346368.0,1.0,8.5,7.7,5.5,0.81,1026.3,1.5,2.9,123.0,0.0,1738303872.0,1738339968.0,0.125,,,0.0,1.0,0.29,28564.0,0.0,,,,,0.0,2.472,0.0,,,,2788.0,,,,,2.514,,,,,,,,media/9FD0A296-CB2E-46D4-B801-07352A80C419.jpg|media/B95B7CC8-6593-4F18-AA34-1F47C984DCD5.jpg|media/5DF82966-D5A1-4A61-8AB5-D54B586E1580.jpg
13519176110,2 feb. 2025 12:04:21,11km!!! 🏃🏼‍♀️🩵🩵,Carrera,"con mi [strava://athletes/143314044/17]Clara BORRA CIRIA 🩵🩵🩵
primeros 11km lloro",4227,"11,16",,,false,,,activities/13519176110.gpx,,,4227.0,4227.0,11160.0,6.0,2.64,35.4,35.0,60.1,74.8,25.7,0.0,,,,,,,,,825.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,11191.5,1738497536.0,3.0,12.6,10.5,9.6,0.82,1016.7,2.6,4.7,83.0,0.2,1738476544.0,1738512896.0,0.125,,,0.81,5.0,0.97,17158.0,2.0,,,,,0.0,2.64,0.0,,,,11392.0,,,,,2.648,,,,,,,,media/1EB756AA-B527-4A1F-9BD3-6A1BE77F99E6.mp4|media/8C5DD0BD-7D6C-4CC8-83F0-8D9D57AEEC46.jpg|media/96CD5E84-4910-4312-B805-3D33CA9CADA5.mp4|media/DAA5E983-F8AA-4CFA-82DF-830D251E0940.jpg
13750046442,28 feb. 2025 12:45:14,"después de muuuucho tiempo, we are back",Carrera,"después de turín, marruecos, volvimooooos 😃😃😃😃😃😃 ha sido duro",1819,"5,00",,,false,,,activities/13750046442.gpx,,,1819.0,1819.0,5003.8,4.28,2.751,9.5,12.9,62.9,68.9,8.0,0.0,,,,,,,,,369.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5009.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.751,0.0,,,,4750.0,,,,,2.754,,,,,,,,media/27CC02E0-76DD-4240-B7C8-2B929F0EE4B9.jpg|media/EA43C131-3BD1-44EF-B27C-FFA1A791C105.jpg|media/FCD0300C-D655-483B-A871-C73221132567.jpg|media/BF4FFA55-9E36-48DB-9D88-5B5688C1757E.jpg|media/8726371E-5BE1-4286-82F8-E96F810678C1.jpg
13767326839,2 mar. 2025 11:16:06,chill,Carrera,,1452,"4,00",,,false,,,activities/13767326839.gpx,,,1452.0,1445.0,4000.6,4.22,2.769,13.1,13.1,59.6,71.5,9.8,-0.2,,,,,,,,,295.0,,,,,,,,,,,,,,,,0.0,,1.0,3995.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.755,0.0,,,,3862.0,,,,,2.765,,,,,,,,media/9B8E0627-B866-4ED1-805F-A516B678CCC9.jpg|media/00FBFE3C-89E1-4A3D-AA3F-AE2CF2B3E257.jpg
