ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
12380910250,11 sept. 2024 5:59:22,Vuelta a la rutina,Carrera,"",2036,"5,32",,,false,,,activities/12380910250.gpx,,,2036.0,1819.0,5323.2,5.974,2.926,34.5,34.5,666.4,697.2,5.4,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5367.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.615,6.2,,,,5268.0,,,,,2.951,,,,,,,,""
12421660221,16 sept. 2024 5:01:43,Día 2,Carrera,,1904,"5,14",,,false,,,activities/12421660221.gpx,,,1904.0,1716.0,5146.5,5.47,2.999,30.2,30.2,680.3,702.5,6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5180.8,1726462848.0,1.0,13.1,10.8,-0.6,0.39,1018.3,2.0,3.9,24.0,0.0,1726466176.0,1726510848.0,0.375,,,0.0,1.0,0.0,32897.0,0.0,,,,,0.0,2.703,2.7,,,,4888.0,,,,,3.019,,,,,,,,""
12456198027,20 sept. 2024 5:57:46,Morning con amanecer,Carrera,,2076,"5,64",,,false,,,activities/12456198027.gpx,,,2076.0,1915.0,5646.1,7.666,2.948,37.8,37.8,680.9,708.4,14.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5675.3,1726808448.0,3.0,14.2,14.3,13.0,0.92,1013.9,1.4,2.8,81.0,0.1,1726812032.0,1726856064.0,0.625,,,0.41,5.0,0.64,20841.0,0.0,,,,,0.0,2.72,174.1,,,,5266.0,,,,,2.964,,,,,,,,""
12481284279,23 sept. 2024 6:01:48,6 km,Carrera,,2391,"6,18",,,false,,,activities/12481284279.gpx,,,2391.0,2038.0,6183.7,5.744,3.034,37.8,37.8,677.3,708.4,13.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6223.6,1727071232.0,2.0,11.9,11.8,8.2,0.78,1015.8,0.8,1.8,353.0,0.0,1727071360.0,1727115008.0,0.625,,,0.0,1.0,0.38,27799.0,0.0,,,,,0.0,2.586,308.1,,,,6186.0,,,,,3.054,,,,,,,,""
12823081907,4 nov. 2024 18:46:57,Carrera de noche,Carrera,,2040,"6,01",,,false,,,activities/12823081907.gpx,,,2040.0,2040.0,6014.6,4.64,2.948,30.9,30.9,666.6,681.2,4.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6042.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.948,382.8,,,,5412.0,,,,,2.962,,,,,,,,""
13101179754,12 dic. 2024 16:40:08,Carrera de noche,Carrera,,2188,"6,23",,,false,,,activities/13101179754.gpx,,,2188.0,2185.0,6235.7,3.96,2.854,0.0,0.0,698.0,699.6,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6239.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.85,6235.7,,,,5894.0,,,,,2.856,,,,,,,,""
13118555995,15 dic. 2024 8:18:29,Carrera Kenvue,Carrera,,1991,"5,57",,,false,,,activities/13118555995.gpx,,,1991.0,1986.0,5575.5,5.12,2.807,34.3,34.3,666.1,700.8,8.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5599.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8,0.0,,,,5242.0,,,,,2.82,,,,,,,,""
13386441174,18 ene. 2025 11:06:13,Primera carrera del año,Carrera,,2287,"4,86",,,false,,,activities/13386441174.gpx,,,2287.0,1835.0,4865.7,4.94,2.652,13.2,13.2,655.2,708.1,9.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4810.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.128,0.0,,,,4596.0,,,,,2.621,,,,,,,,""
13429236867,23 ene. 2025 6:58:48,Morning run,Carrera,,1998,"5,73",,,false,,,activities/13429236867.gpx,,,1998.0,1832.0,5732.2,5.58,3.129,37.3,37.3,680.5,708.0,9.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5770.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.869,0.0,,,,5146.0,,,,,3.15,,,,,,,,""
13480997413,29 ene. 2025 6:07:08,Carrera mañana era con titi,Carrera,,2283,"6,15",,,false,,,activities/13480997413.gpx,,,2283.0,2071.0,6152.5,5.48,2.971,42.1,42.1,665.9,702.3,5.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6199.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.695,0.0,,,,5842.0,,,,,2.993,,,,,,,,""
